Sampling Timestamp,Aluminum Dissolved,Aluminum Total Recoverable,Calcium Dissolved,Calcium Total,Copper Dissolved,Copper Total Recoverable,Lead Dissolved,Lead Total Recoverable,Nickel Dissolved,Nickel Total Recoverable,Nitrogen Dissolved,Phosphorus Total Dissolved,Phosphorus Total,Vanadium Dissolved,Turbidity,pH,Oxygen dissolved % saturation,OXYGEN BIOCHEMICAL DEMAND,Site Name,Unit Symbol
1999-08-10 10:25:00,,,6130.0,,,,,,,,258.0,8.0,0.02,,0.5,6.86,,,NAMUR LAKE,µg/l
2000-08-31 09:20:00,,,6470.0,,,,,,,,340.0,10.0,0.021,,0.8,7.09,,,NAMUR LAKE,µg/l
2001-09-13 10:45:00,,,6280.0,6500.0,,1.1,,0.582,,0.6,297.0,11.0,0.017,,0.68,7.29,,,NAMUR LAKE,µg/l
2001-09-13 10:45:00,,16.4,,,,,,,,,,,,,,,,,NAMUR LAKE,µg/l
2002-10-01 12:00:00,,,6520.0,,,,,,,,324.0,12.0,0.03,,0.87,7.12,,,NAMUR LAKE,µg/l
2003-08-28 08:55:00,1.6,,6530.0,6500.0,0.3,0.9,0.01,0.088,0.7,0.7,271.0,8.0,0.018,0.1,0.65,7.18,,,NAMUR LAKE,µg/l
2003-08-28 08:55:00,,13.6,,,,,,,,,,,,,,,,,NAMUR LAKE,µg/l
2004-08-29 08:45:00,0.25,,6260.0,7120.0,0.453,0.441,0.0069,0.0212,0.56,0.62,319.0,8.0,0.017,0.02,,7.28,,,NAMUR LAKE,µg/l
2004-08-29 08:45:00,,3.6,,,,,,,,,,,,,,,,,NAMUR LAKE,µg/l
2005-08-27 09:58:00,,4.7,,,,,,,,,,,,,,,,,NAMUR LAKE,µg/l
2005-08-27 09:58:00,0.57,,9600.0,6650.0,0.55,0.555,0.0136,0.0206,0.57,0.66,258.0,11.0,0.016,0.046,0.51,7.43,,,NAMUR LAKE,µg/l
2006-08-21 12:10:00,,9.4,,,,,,,,,,,,,,,,,NAMUR LAKE,µg/l
2006-08-21 12:10:00,,,6270.0,6480.0,,0.497,,0.192,,0.575,413.0,6.0,0.024,,,7.43,,,NAMUR LAKE,µg/l
2007-08-21 09:40:00,,15.1,,,,,,,,,,,,,,,,,NAMUR LAKE,µg/l
2007-08-21 09:40:00,0.226,,6350.0,6500.0,0.29,0.32,0.0154,0.287,0.562,0.598,273.0,4.0,0.016,0.0418,0.51,7.05,,,NAMUR LAKE,µg/l
2008-08-27 10:05:00,,6.53,,,,,,,,,,,,,,,,,NAMUR LAKE,µg/l
2008-08-27 10:05:00,0.467,,6790.0,7100.0,0.343,0.346,0.0115,0.0183,0.724,0.762,332.0,4.0,0.012,0.0347,0.32,6.86,,,NAMUR LAKE,µg/l
2009-08-19 10:30:00,1.02,,6780.0,6770.0,0.287,0.29,0.0073,0.0381,0.574,0.605,280.0,4.0,0.013,0.0538,0.48,7.49,,,NAMUR LAKE,µg/l
2009-08-19 10:30:00,,7.62,,,,,,,,,,,,,,,,,NAMUR LAKE,µg/l
2010-09-03 09:30:00,,6.55,,,,,,,,,,,,,,,,,NAMUR LAKE,µg/l
2010-09-03 09:30:00,0.364,,7010.0,6920.0,0.262,0.265,0.0022,0.234,0.524,0.561,,6.0,0.014,0.0417,,7.54,,,NAMUR LAKE,µg/l
2011-08-30 10:30:00,,5.46,,,,,,,,,,,,,,,,,NAMUR LAKE,µg/l
2011-08-30 10:30:00,1.65,,7100.0,6300.0,0.305,0.308,0.0097,0.0098,0.548,0.639,289.0,6.0,0.01,0.0689,0.69,7.48,,,NAMUR LAKE,µg/l
2012-08-30 09:00:00,0.378,,7170.0,7590.0,0.351,0.669,0.001,0.0209,0.492,0.594,300.0,4.0,0.012,0.0591,0.64,7.71,,,NAMUR LAKE,µg/l
2012-08-30 09:00:00,,32.0,,,,,,,,,,,,,,,,,NAMUR LAKE,µg/l
2013-08-26 12:45:00,,10.7,,,,,,,,,,,,,,,,,NAMUR LAKE,µg/l
